"Condition_label" "basic_colors" "creative_name" "Chain" "Generation" "Subject" "Condition" "Language" "Hue_color_to_name" "Saturatio_color_to_name" "Lightness_color_to_name" "Color_label_naming"
"57" "Naming transmission" "pink" "Ladylike" 0 2 "m95k" 2 "Danish" 322 40 50 "seed mørk rosa"
"58" "Naming transmission" "brown" "The Earth" 0 2 "m95k" 2 "Danish" 49 37 50 "seed sennepsgul"
"59" "Naming transmission" "blue" "Eat me" 0 2 "m95k" 2 "Danish" 180 29 50 "seed havblå"
"60" "Naming transmission" "green" "The Earth" 0 2 "m95k" 2 "Danish" 113 34 50 "seed græsgrøn"
"61" "Naming transmission" "purple" "redwine stain" 0 3 "839z" 2 "Danish" 315 57 50 "seed mørk rosa"
"62" "Naming transmission" "blue" "cyanblue" 0 3 "839z" 2 "Danish" 180 35 50 "seed havblå"
"63" "Naming transmission" "green" "sustainable green" 0 3 "839z" 2 "Danish" 53 37 50 "seed sennepsgul"
"64" "Naming transmission" "green" "græsgrøn" 0 3 "839z" 2 "Danish" 115 36 50 "seed græsgrøn"
"65" "Pure transmission" "green" "Tyrkis" 0 1 "80cs" 1 "Danish" 180 52 50 "seed havblå"
"66" "Pure transmission" "green" "Grøn" 0 1 "80cs" 1 "Danish" 117 62 50 "seed græsgrøn"
"67" "Pure transmission" "yellow" "Sennepsgul" 0 1 "80cs" 1 "Danish" 52 64 50 "seed sennepsgul"
"68" "Pure transmission" "purple" "Magenta" 0 1 "80cs" 1 "Danish" 327 59 50 "seed mørk rosa"
"69" "Pure transmission" "blue" "Turkis" 0 0 "8v88" 1 "Danish" 179 64 50 "seed havblå"
"70" "Pure transmission" "green" "lysegrøn" 0 0 "8v88" 1 "Danish" 113 61 50 "seed græsgrøn"
"71" "Pure transmission" "pink" "mørk lyserød" 0 0 "8v88" 1 "Danish" 327 65 50 "seed mørk rosa"
"72" "Pure transmission" "yellow" "sennepsgul" 0 0 "8v88" 1 "Danish" 50 62 50 "seed sennepsgul"
